line,move,espeed,dir,end,x,y,z,pitch,roll,yaw,fspeed
1345,1,6,1,0,425.8533,-1.2769,3.7,0,0,0,
1348,1,6,1,0,425.2062,-1.3645,3.7,0,0,0,
1351,1,6,1,0,424.5561,-1.4505,3.7,0,0,0,
1354,1,6,1,0,423.9031,-1.5348,3.7,0,0,0,
1357,1,6,1,0,423.2472,-1.6175,3.7,0,0,0,
1360,1,6,1,0,422.5884,-1.6985,3.7,0,0,0,
1363,1,6,1,0,421.9266,-1.7778,3.7,0,0,0,
1366,1,6,1,0,421.262,-1.8553,3.7,0,0,0,
1369,1,6,1,0,420.5945,-1.9311,3.7,0,0,0,
1372,1,6,1,0,419.9241,-2.0051,3.7,0,0,0,
1375,1,6,1,0,419.2509,-2.0773,3.7,0,0,0,
1378,1,6,1,0,418.5747,-2.1477,3.7,0,0,0,
1381,1,6,1,0,417.8957,-2.2162,3.7,0,0,0,
1384,1,6,1,0,417.2138,-2.2828,3.7,0,0,0,
1387,1,6,1,0,416.529,-2.3476,3.7,0,0,0,
1390,1,6,1,0,415.8413,-2.4103,3.7,0,0,0,
1393,1,6,1,0,415.1508,-2.4712,3.7,0,0,0,
1396,1,6,1,0,414.4575,-2.53,3.7,0,0,0,
1399,1,6,1,0,413.7613,-2.5868,3.7,0,0,0,
1402,1,6,1,0,413.0622,-2.6416,3.7,0,0,0,
1405,1,6,1,0,412.3603,-2.6943,3.7,0,0,0,
1408,1,6,1,0,411.6556,-2.7449,3.7,0,0,0,
1411,1,6,1,0,410.948,-2.7935,3.7,0,0,0,
1414,1,6,1,0,410.2377,-2.8399,3.7,0,0,0,
1417,1,6,1,0,409.5245,-2.8841,3.7,0,0,0,
1420,1,6,1,0,408.8085,-2.9262,3.7,0,0,0,
1423,1,6,1,0,408.0897,-2.966,3.7,0,0,0,
